Population density,Distance to street,Rainfall,Temperature,Wind speed,Wind direction,Distance to industrial,Humidity,Elevation,Traffic volume,Land surface temperature (LST),Normalized difference vegetation index (NDVI),Distance to transportation,PM2.5
0,276.586,265.723,17.259,2.57702,243.128,152.971,37.1871,1106,0,61.1812,0.105923,335.4101868,1
747.844,0,263.802,17.2885,2.60164,242.609,123.693,36.974,1110,0,60.1474,0.0565129,107.7032928,1
403.589,30,262.844,17.3055,2.61468,242.054,247.386,36.8323,1112,0,59.8114,0.0213005,254.9509735,1
594.578,0,272.966,17.2089,2.49355,239.587,228.473,37.2039,1111,20.37502654,59.839,0.0737384,463.8965454,1
0,323.11,269.917,17.2274,2.53074,241.033,30,37.1938,1109,0,60.4878,0.0676249,328.9376831,1
0,60,273.491,17.1933,2.48909,240.063,67.082,37.3112,1108,7187.915661,60.8314,0.081712,78.10249329,1
346.521,42.4264,279.355,17.1352,2.42115,238.639,210,37.525,1108,10476.98204,59.9854,0.0502579,174.6424866,1
267.279,42.4264,280.269,17.1348,2.40828,238.027,84.8528,37.4984,1110,850.7847398,60.0322,0.0427497,237.0653992,1
251.63,30,290.75,17.0084,2.29533,236.347,1189.83,38.0149,1104,19.37567916,59.8726,0.0634919,539.0733032,1
11.3285,42.4264,284.206,17.0822,2.36677,237.664,553.173,37.7328,1105,12.62558337,60.2556,0.493315,339.4112549,1
287.816,108.167,286.054,17.073,2.34303,236.838,456.946,37.7393,1099,475.4510816,60.2992,0.501103,300.166626,1
2.52643,216.333,271.952,17.1964,2.50719,241.28,0,37.3804,1102,0.130203137,61.0822,0.0798765,333.7663879,1
369.954,189.737,275.071,17.1685,2.47168,240.22,313.209,37.4515,1109,0,59.7341,0.037683,215.8703308,1
714.03,60,279.055,17.125,2.42679,239.398,700.357,37.6222,1107,3878.82518,59.8594,0.0374683,522.0153198,1
0,84.8528,283.216,17.0825,2.37998,238.353,831.925,37.7697,1104,0,59.8226,0.0443743,332.4154053,1
955.431,84.8528,288.515,17.0227,2.32208,237.263,1315.9,37.9974,1102,1026.683289,60.0148,0.0371721,100.4987564,1
733.073,42.4264,292.461,16.9805,2.27903,236.318,1592.26,38.1444,1099,1217.640927,59.9354,0.0440898,422.0189514,1
0,169.706,288.964,17.0069,2.31917,237.622,1080,38.0972,1098,0,61.5745,0.109726,622.4146729,1
0,60,282.467,17.0796,2.38985,239.066,898.999,37.8312,1104,7190.281348,60.3023,0.256435,676.239624,1
178.087,67.082,277.361,17.133,2.44652,240.363,295.466,37.6487,1102,966.0359553,60.8103,0.042068,930.3762817,1
67.8802,540.833,271.891,17.1885,2.50739,241.921,30,37.4753,1101,0,60.6767,0.0427509,117.0469971,1
5.87333,150,267.338,17.2435,2.55926,242.54,67.082,37.223,1106,707.9996036,60.7525,0.0780334,130.3840485,1
266.061,0,264.475,17.2958,2.59522,241.156,0,36.8267,1119,0,60.4152,0.0734678,455.4118958,1
786.997,60,273.364,17.2115,2.4871,239.174,180,37.1728,1118,0,59.7581,0.0447259,434.165863,1
11.6268,445.982,288.752,17.0522,2.30996,235.975,457.93,37.8029,1105,0,61.565,0.152175,452.2167664,1
713.751,240,297.17,16.9416,2.22491,234.768,1236.93,38.2441,1104,0,59.9527,0.0450757,582.5804443,1
0,0,300.22,16.8882,2.1977,234.738,1528.82,38.4863,1098,178.5285256,60.7328,0.159599,826.3776245,1
0,360,295.913,16.9227,2.24599,236.252,751.798,38.4175,1094,0,61.8681,-0.026095,1413.258667,1
1.79872,84.8528,288.018,16.9998,2.3317,238.606,192.094,38.2036,1097,177.9387525,60.9574,0.155783,1560.801025,1
0,0,280.682,17.0773,2.41097,240.617,120,37.962,1096,848.3611407,60.8659,0.0553548,950,1
5.21915,655.21,276.678,17.1177,2.45436,241.866,0,37.853,1095,0.016641441,61.232,0.101928,274.5906067,1
0,349.857,271.681,17.1744,2.50841,243.148,0,37.6595,1093,0,61.4036,0.10545,670.6713257,1
1.17955,212.132,268.122,17.224,2.54836,243.34,150,37.403,1102,0,61.1826,0.107462,400.2499084,1
113.524,990.454,273.181,17.1657,2.4926,242.209,0,37.6237,1095,102.4009741,59.8177,0.0424052,482.5971375,1
0,210,277.833,17.1175,2.44164,240.854,108.167,37.7689,1088,0,60.7607,0.0474715,908.0198364,1
0,90,284.103,17.051,2.37308,239.204,764.853,37.9873,1102,2212.569877,60.5764,0.0779333,1190.126099,1
